,mob
SRR14022764,
SRR14010969,1.0
SRR14011002,0.9599844910929144
SRR14026515,1.0
SRR14010946,0.9864739187465731
SRR14011041,0.9622862694560536
SRR14010961,1.0
SRR14022770,1.0
SRR14022782,1.0
SRR14026532,
SRR14022776,
SRR14010955,0.9185692196536835
SRR14026537,1.0
SRR14024950,1.0
SRR14026549,
SRR14011022,0.9517359125385607
SRR14010981,1.0
SRR14011043,0.8902567280375994
SRR14011035,0.8703703051849766
SRR14010965,0.9342028272222678
SRR14024983,1.0
SRR14026517,0.8347913178197525
SRR14010950,1.0
SRR14010988,0.8734392276367952
SRR14026545,
SRR14022735,0.594175980465376
SRR14026535,1.0
SRR14010953,0.9659719813611207
SRR14026530,1.0
SRR14010933,0.9613154002520928
SRR14011003,0.8959493533114444
SRR14010983,0.8199827983814384
SRR14026552,1.0
SRR14026514,1.0
SRR14010971,1.0
SRR14024951,0.9615035834430306
SRR14022763,1.0
SRR14022769,1.0
SRR14011020,1.0
SRR14011039,0.9602690664485046
SRR14026541,1.0
SRR14022761,1.0
SRR14011011,1.0
SRR14026503,1.0
SRR14026476,1.0
SRR14022777,1.0
SRR14024997,0.793946275215679
SRR14022778,0.8110594905585468
SRR14024986,1.0
SRR14024962,1.0
SRR14024974,0.6536924326346623
SRR14024990,1.0
SRR14011001,1.0
SRR14026554,0.9064378380251468
SRR14024963,1.0
SRR14026516,1.0
SRR14026553,1.0
SRR14010973,1.0
SRR14026491,
SRR14026497,0.6432707770551283
SRR14024948,1.0
SRR14026525,
SRR14024978,0.636036612808144
SRR14026520,
SRR14022738,0.6134377492321529
SRR14024972,1.0
SRR14026469,
SRR14022754,1.0
SRR14024989,0.751594046381962
SRR14022767,0.7716181602612858
SRR14026542,1.0
