,hy
SRR14022764,1.0
SRR14010969,0.993947901523156
SRR14011002,0.9951699871001733
SRR14026515,1.0
SRR14010946,1.0
SRR14011041,0.9951620935558613
SRR14010961,0.9952754283226732
SRR14022770,1.0
SRR14022782,0.9266315920872924
SRR14026532,1.0
SRR14022776,1.0
SRR14010955,0.9949185875143821
SRR14026537,0.9292852000776025
SRR14024950,1.0
SRR14026549,1.0
SRR14011022,0.9927880808321167
SRR14010981,0.9946314526919454
SRR14011043,0.9816698240248328
SRR14011035,0.9829693537275302
SRR14010965,0.9954897802888353
SRR14024983,0.8816198110599828
SRR14026517,0.962323828388856
SRR14010950,0.9955705308861482
SRR14010988,0.9579030376355702
SRR14026545,1.0
SRR14022735,0.9541671542033271
SRR14026535,0.9699978302526289
SRR14010953,0.9939290345851932
SRR14026530,0.986446193667939
SRR14010933,0.9966983173352202
SRR14011003,0.9860455811988724
SRR14010983,
SRR14026552,0.9987594324765614
SRR14026514,0.9775901335805424
SRR14010971,0.9874024306430799
SRR14024951,0.9694767441860465
SRR14022763,0.8614567444357036
SRR14022769,0.8856823693982911
SRR14011020,0.994850170762407
SRR14011039,0.9934005494882541
SRR14026541,0.9859748168898587
SRR14022761,1.0
SRR14011011,
SRR14026503,0.9710449050222453
SRR14026476,0.8693898758502754
SRR14022777,0.995979281314083
SRR14024997,0.6064017319322986
SRR14022778,0.9548867850643816
SRR14024986,0.8525675639191123
SRR14024962,0.9874024991445534
SRR14024974,0.8431707211400228
SRR14024990,0.8879368192420714
SRR14011001,0.9969762325905599
SRR14026554,0.9814286656256749
SRR14024963,0.9665805732108417
SRR14026516,0.9981406729240544
SRR14026553,0.9926534539480595
SRR14010973,
SRR14026491,1.0
SRR14026497,0.8647212371212976
SRR14024948,0.9552822099287845
SRR14026525,1.0
SRR14024978,0.9443928254418861
SRR14026520,1.0
SRR14022738,
SRR14024972,0.9440072141309227
SRR14026469,1.0
SRR14022754,0.8278042882768322
SRR14024989,0.9423580962020901
SRR14022767,0.9035669116685041
SRR14026542,0.9835197352044184
