sample,F1
SRR14000614,0.8765945164626447
SRR14024961,
SRR13726590,
SRR13727011,1.0
SRR13726582,
SRR13999927,1.0
SRR13726551,1.0
SRR13999934,0.9984235824701757
SRR13727008,0.9966374735548228
SRR13712363,0.9607823419980894
SRR14000594,0.9784244954696181
SRR13725703,1.0
SRR13726554,0.989980537735169
SRR13725727,
SRR13712377,1.0
SRR14000019,1.0
SRR13726529,0.5433689073618863
SRR14000592,0.9452273043895817
SRR13726561,0.9608609869235775
SRR13712371,0.6598549371286889
SRR13726578,1.0
SRR13712375,0.8702476712328767
SRR13712383,0.9479629688448159
SRR13999995,1.0
SRR13999918,1.0
SRR13727002,0.990020010835743
SRR13725706,1.0
SRR13712391,0.9489478597034594
SRR13726557,0.6312565885162995
SRR13727000,0.6834926128952507
SRR13726569,1.0
SRR13999953,1.0
SRR13727003,1.0
SRR13726512,0.7958386388583973
SRR13725714,
SRR13712379,0.13429130989251228
SRR13712366,0.96434909681188
SRR13726564,1.0
SRR14000598,1.0
SRR13999996,0.7992144881442804
SRR13999990,
SRR13726589,1.0
SRR13726536,0.9666213880637321
SRR13999994,0.960451584503786
SRR13712361,0.902472044417112
SRR13726594,1.0
SRR13999940,0.9340492683526663
SRR13726587,0.6911970707142351
SRR13999931,0.9501690665429388
SRR13712518,
SRR13727034,0.9815682057739514
SRR14000004,
SRR13727026,0.7551527118154864
SRR13999937,0.9700769040458216
SRR13726504,0.9224929991000639
SRR13725701,0.9518577914867585
SRR14000005,0.0
SRR13727025,0.18609831321631193
SRR14000018,0.9717230145631851
SRR13712384,
